op,room_base,room_raw,stage,round,seq_in_room,sender,receiver,is_broadcast,bytes,participants_k
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,1,3,2,3,1,14428,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,2,4,1,2,1,328,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,2,4,1,3,1,328,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,2,5,3,1,1,339,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,2,5,3,2,1,339,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,2,6,2,1,1,335,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,2,6,2,3,1,335,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,3,7,2,1,0,549,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,3,8,1,2,0,551,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,3,9,2,3,0,548,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,3,10,1,3,0,555,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,3,11,3,1,0,557,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,3,12,3,2,0,558,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,4,13,1,2,1,542,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,4,13,1,3,1,542,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,4,14,2,1,1,538,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,4,14,2,3,1,538,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,4,15,3,1,1,541,3
dkg,dkg_room_1768484519052-10749-8-2828928211,dkg_room_1768484519052-10749-8-2828928211,,4,15,3,2,1,541,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,1,1,1,2,1,14375,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,1,1,1,3,1,14375,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,1,2,3,1,1,14405,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,1,2,3,2,1,14405,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,1,3,2,1,1,14387,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,1,3,2,3,1,14387,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,2,4,3,1,1,333,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,2,4,3,2,1,333,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,2,5,1,2,1,337,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,2,5,1,3,1,337,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,2,6,2,1,1,333,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,2,6,2,3,1,333,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,3,7,3,1,0,545,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,3,8,1,2,0,549,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,3,9,3,2,0,545,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,3,10,2,1,0,547,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,3,11,1,3,0,553,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,3,12,2,3,0,551,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,4,13,2,1,1,534,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,4,13,2,3,1,534,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,4,14,1,2,1,550,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,4,14,1,3,1,550,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,4,15,3,1,1,541,3
dkg,dkg_room_1768484519405-10749-9-209356944,dkg_room_1768484519405-10749-9-209356944,,4,15,3,2,1,541,3
